Ticket Name,0 houses,1 house,2 houses,3 houses,hotel
England,-2500,-5300,-7000,-7000,11300
Iraq,-4500,-5000,1000,0,0
France,-2500,-1200,-2500,0,0
Iran,-2500,-2500,-2500,1400,31800
Egypt,-3200,0,0,0,0
Canada,-2800,-2600,0,0,0
Germany,-3500,0,0,0,0
Switzerland,-3500,0,0,0,0
Brazil,-7500,-2500,-2500,-2500,-2500
Italy,0,0,0,0,0
Japan,-2000,-2500,-2500,-2500,0
USA,-15000,-6500,0,0,0
Mexico,-4000,-400,10400,6800,0
Hong Kong,-2000,-2500,-100,-2500,-2500
Australia,0,0,0,0,0
India,0,0,0,0,0
Saudi Arabia,-5500,900,-5500,0,0
China,-7200,0,0,0,0
Malaysia,-3000,-300,0,0,0
Singapore,-2700,-3000,2200,900,0
